Time,radar,fall avg accel,fall burn time,fall dist,burn mass,fall time,ship mass,,,,,,,,,,,,,,,,,,,
80.04000007,1000.014027,27.51903133,5.989882575,355.1522411,830.5868013,14.30436662,4.484053135,,,,,,,,,,,,,,,,,,,
Time,radar,availthrust,thrust,thrust at alt,isp,atsip,mass,atmequiv,press,acc,acc,acc,fall dist,fall time,gravity,ship vertical speed,,acceleration,acceleration thrust,acceleration thrust at,,velocity,a,a after,calc thrust,
80.40000007,999.6600395,100.5642548,100.5642548,100.5813675,176.5469666,176.5761871,4.483045101,0.984625171,0.850823603,V(4.61991357524746,0.010559614, -4.31120125588831),353.5520647,14.58265599,9.774668911,-2.722750284,-7.391095348,22.43213095,22.43213095,22.43594816,,,,,,
80.54000008,999.1971145,100.5599136,100.5599136,100.5770264,176.5397797,176.5685577,4.483045101,0.984631784,0.850883764,V(7.10868134445333,0.016106804, -6.63421132547572),352.6627159,14.72179687,9.774684855,-4.084065517,-6.028629121,22.43116261,22.43116261,22.43497982,,-3.306607216,,,,
80.68000008,998.5437508,100.5537643,100.5537643,100.5708923,176.5294647,176.557785,4.483045101,0.984641118,0.850968699,V(7.10816468668641,0.015816756, -6.63453850525573),351.8940129,14.86093169,9.774706989,-5.445418795,-4.66563771,22.42979093,22.42979093,22.43361154,,-4.666883733,-9.716260823,,,
80.82000008,997.6997698,100.545845,100.545845,100.562973,176.5160065,176.5438843,4.483045101,0.984653175,0.851078405,V(7.10762330013033,0.015526624, -6.63482877234946),351.1313616,15.00005366,9.774735325,-6.806774469,-3.302155596,22.42802443,22.42802443,22.43184504,,-6.02843527,-9.725368112,,,
80.96000008,996.6650051,100.5361328,100.5361328,100.5532532,176.4994049,176.526825,4.483045101,0.984667957,0.851212884,V(7.10718062302162,0.015236777, -6.63502945730903),350.3747904,15.13915439,9.774769863,-8.16806482,-1.938249204,22.42585799,22.42585799,22.42967691,,-7.391176491,-9.733865855,,,
81.10000008,995.4398433,100.5246429,100.5246429,100.541748,176.4796448,176.5066223,4.483045101,0.984685459,0.851372211,V(7.1063911222189,0.014946494, -6.63524407258346),349.6242932,15.27823921,9.774810598,-9.52932865,-0.57388134,22.42329503,22.42329503,22.42711054,,-8.751155626,-9.714136671,,,
81.24000008,994.0240509,100.5113449,100.5113449,100.52845,176.4567719,176.4832764,4.483045101,0.984705684,0.851556386,V(7.10599206287042,0.014656197, -6.63520627741494),348.8797981,15.41731994,9.774857531,-10.89067639,0.791059777,22.42032874,22.42032874,22.42414425,,-10.11280307,-9.726053199,,,
81.38000008,992.417619,100.4962692,100.4962692,100.5133667,176.4307556,176.4568024,4.483045101,0.984728633,0.851765333,V(7.10585530793333,0.014366575, -6.63569654921323),348.1411833,15.55640795,9.774910662,-12.25221308,2.156679325,22.41696591,22.41696591,22.42077972,,-11.4745136,-9.726503761,,,
81.52000008,990.6206651,100.4794083,100.4794083,100.4965057,176.4015961,176.4272003,4.483045101,0.984754304,0.851999128,V(7.10577037133675,0.014077319, -6.63618534286708),347.4086605,15.69545692,9.774969995,-13.61352971,3.522569551,22.41320486,22.41320486,22.41701867,,-12.83538511,-9.720510784,,,
81.66000008,988.6332248,100.4607468,100.4607468,100.4778519,176.3692932,176.394455,4.483045101,0.984782696,0.852257771,V(7.10541817146036,0.013787165, -6.63605806404074),346.6820112,15.83449469,9.775035524,-14.9748735,4.888977431,22.40904218,22.40904218,22.41285769,,-14.19600187,-9.7186911,,,
81.80000008,986.4549205,100.4403152,100.4403152,100.4574203,176.3338776,176.3585815,4.483045101,0.984813814,0.852541261,V(7.10404019000775,0.013497217, -6.63636083045231),345.9611336,15.97350803,9.775107261,-16.33614702,6.255808562,22.40448467,22.40448467,22.40830018,,-15.5593168,-9.737963757,,,
81.94000008,984.086283,100.4180908,100.4180908,100.4351959,176.2953186,176.3195648,4.483045101,0.984847653,0.85284975,V(7.10327902929524,0.013207617, -6.63720564905485),345.2461715,16.11252123,9.775185193,-17.69753644,7.623246471,22.39952723,22.39952723,22.40334274,,-16.91883876,-9.710871179,,,
82.08000008,981.5268706,100.3940887,100.3940887,100.4111862,176.2536163,176.27742,4.483045101,0.984884215,0.853183087,V(7.10259178586733,0.012917859, -6.63822666332213),344.5368501,16.25153941,9.775269325,-19.05911011,8.991362159,22.39417326,22.39417326,22.39798707,,-18.28151716,-9.733417103,,,
82.22000008,978.7768887,100.368309,100.368309,100.3853912,176.208786,176.232132,4.483045101,0.984923502,0.853541346,V(7.10231178506526,0.012628325, -6.63864628574711),343.8333231,16.39052079,9.77535966,-20.420504,10.35979327,22.38842277,22.38842277,22.39223317,,-19.64272777,-9.722932959,,,
82.36000008,975.8363907,100.3407288,100.3407288,100.3578186,176.1608429,176.1837311,4.483045101,0.984965508,0.853924604,V(7.10201856493391,0.012338899, -6.63892684574697),343.1356132,16.52949056,9.775456195,-21.78193165,11.72875308,22.38227064,22.38227064,22.38608275,,-21.00355761,-9.720213129,,,
82.50000008,972.7050537,100.3113785,100.3113785,100.3284683,176.1097717,176.1322021,4.483045101,0.985010239,0.854332861,V(7.10119775667832,0.012048801, -6.63897957019333),342.4433679,16.66845654,9.775558931,-23.14346592,13.09831673,22.37572369,22.37572369,22.3795358,,-22.36669236,-9.736676756,,,
82.64000008,969.3833973,100.2802658,100.2802658,100.2973328,176.0555573,176.0775452,4.483045101,0.985057693,0.854766115,V(7.10107715643973,0.011758341, -6.63962438871368),341.757047,16.80739173,9.77566787,-24.50488135,14.46825864,22.36878362,22.36878362,22.37259062,,-23.72611748,-9.710179399,,,
82.78000008,965.8710581,100.2473602,100.2473602,100.2644272,175.9982605,176.0197754,4.483045101,0.98510787,0.855224444,V(7.09913738654329,0.011467505, -6.64058083993546),341.0760333,16.94630195,9.775783008,-25.86623115,15.8386349,22.36144361,22.36144361,22.36525061,,-25.08813701,-9.728710907,,,
82.92000008,962.1681776,100.212677,100.212677,100.2297592,175.9378204,175.9589081,4.483045101,0.985160769,0.855707846,V(7.09761744389414,0.011178874, -6.64033414409769),340.4007345,17.08515115,9.775904351,-27.22723257,17.20916548,22.35370708,22.35370708,22.35751748,,-26.44914611,-9.721493626,,,
83.06000008,958.2745728,100.1762238,100.1762238,100.1932907,175.8742676,175.8948975,4.483045101,0.985216391,0.856216397,V(7.09659497771666,0.010889416, -6.64073638301574),339.7309025,17.22401201,9.776031893,-28.58847225,18.58043536,22.34557572,22.34557572,22.34938272,,-27.81146308,-9.730835439,,,
83.20000008,954.190513,100.1380005,100.1380005,100.1550598,175.8075867,175.827774,4.483045101,0.985274735,0.856750097,V(7.09759366087794,0.01060093, -6.6397439366333),339.0665084,17.36289401,9.776165638,-29.95003931,19.95253286,22.33704953,22.33704953,22.34085483,,-29.17185597,-9.717092094,,,
